date time,rating(5star),review,theme
2026-03-07 23:06:57,5,groww is good and better than more app,Other
2026-03-07 21:29:08,1,"I have never seen a platform as bad as groww. Do not allow to delete the account. No need to call the help line, the music plays for hours. A useless platform. If there is a problem for some reason, the help line cannot be contacted. I request everyone to call the help line once before depositing money and check if I am right or not.",Customer Support
2026-03-07 21:08:11,3,why no login option is showing when I downloaded grow app on my new phone,Login Issues
2026-03-07 20:40:49,1,the most worst app I have used ever in my life a big withdrawal issue if I withdraw my money it comes back to my groww account instead of bank account groww needs to work on this issue,Brokerage Charges
2026-03-07 20:31:12,5,very good app for investing to everyone,Other
2026-03-07 20:20:09,1,"if anyone draw levels in various stocks in one mobile and after changing the phone on same account there is no drawings on those stocks. so you have to redraw those levels, it should be changed in recent update so we have to work easily",App Performance
2026-03-07 20:13:46,5,"one , of the best app for investment.",Other
2026-03-07 20:02:54,1,"worst app specially for mutual funds, they sell mutual funds without customer permission and didnt even show in statement. Show fake holdings.",Brokerage Charges
2026-03-07 19:35:07,1,high brokarage..now some broker only 10..it charged morethan 55..also not trustable sl hit before the price come..they will took entire money..6 yrs i use grow and write the review..worst app..use nubra app 10 rs only broke,Brokerage Charges
2026-03-07 18:41:49,5,good little to improve to show each % investment return on screen,Other
2026-03-07 18:22:02,5,Simple UI... Easy to trade... Good app for beginners and experienced professional,Other
2026-03-07 17:39:33,4,"Great app with a clean and easy interface for trading. It would be even better if Groww could add Trailing Stop Loss, VWAP indicator, and Volume in the charts. These features are very important for intraday and options traders to make better decisions and manage risk effectively. Hope the Groww team adds these soon!",App Performance
2026-03-07 17:03:50,1,"poor customer service. despite customer service excepting glitch in their tool which impacted me to revise my orders and made loss, Customer service is not ready to compensate and gives a stupid response.",Customer Support
2026-03-07 16:33:52,1,Your application is always hang and chart also not updated properly india ka sabse bakwas application hai don't install pura barbaad kr dega,App Performance
2026-03-07 15:25:02,3,it was taken more broker charges,Brokerage Charges
2026-03-07 14:31:13,5,it's good and easy to operate the functions,Other
2026-03-07 14:12:41,1,"I am trying since many days to import all internal and external Mutual Funds but app is just showing that they will come with new update shortly, but i don't know when new updates will come. Till the time we just have to wait. It is a very disappointing thing in today's digital era customer have to wait so long just to get own funds details. Team request to resolve at earliest",Customer Support
2026-03-07 14:03:41,1,worst of the worst customer support,Customer Support
2026-03-07 12:31:19,1,please resolve- unable to track external mutual funds is currently paused. we will come back with an updated experience,Customer Support
2026-03-07 10:55:23,5,Very easy and good app..Easy interface.. Good customer care service.. Invest & Groww,Other
2026-03-07 10:10:41,3,I'm out fetch option not working in mf,Other
2026-03-07 09:55:25,1,Fund status is not getting refreshed and has been paused.,Customer Support
2026-03-07 09:37:20,5,Easy App to understand markets quickly,Other
2026-03-07 09:19:55,5,Fabulous application for investment with Spenldid graphics and helpful approach,Other
2026-03-07 09:18:59,5,"I find the Groww app simple and easy to use. The interface is clean and straightforward, which makes it good for beginners who are just starting with investing or mutual funds. Navigating between stocks, mutual funds, and other investment options is smooth, and basic data like price charts and performance history loads quickly.",Other
2026-03-07 09:09:08,5,I Requested Groww Daily SIP System,Other
2026-03-07 09:02:56,1,This app is good but something more Some more systems need to be introduced.,Other
2026-03-07 08:42:42,3,"Dear Team, Please look into this, external funds unable to track in Groww application. Few days error facing i.e. ""Tracking external funds is currently paused"". Mutual funds updated details not showing.",Customer Support
2026-03-07 08:25:50,5,"please add feature of safe exit in commodity Trade, because this feature is very helpfull for beginner",Other
2026-03-07 08:12:20,5,super investment and mutual fund application to track best plan to invest I got benefitted you must try,Other
2026-03-07 07:12:00,5,groww is best for mutual fund investment,Other
2026-03-07 06:19:22,3,please update SWP option in this application.,Other
2026-03-07 05:10:39,5,"Groww is widely praised for its incredibly intuitive, beginner-friendly interface and seamless, paperless onboarding that makes investing in stocks and mutual funds accessible to everyone. It’s a top-tier choice if you value simplicity, educational resources, and a transparent, commission-free experience.",Other
2026-03-07 01:08:36,1,it is showing my Tracking external funds are currently paused ????,Customer Support
2026-03-07 00:54:31,4,Good platform to trade for beginners and expert,Other
2026-03-07 00:37:44,1,every time you have place an order you click refresh button. quited using this application,App Performance
2026-03-06 23:40:50,5,groww app is good but my KYC need to update.,Other
2026-03-06 22:28:36,5,this app is very easy to use for beginners.....there is no software issue.... comparatively very fast and clear.i am using this app for 4 years.. I personally recommend this app to everyone.,Other
2026-03-06 22:27:05,1,I tried to contact support through chat and they don't even respond. Not appreciated at all.,Customer Support
